Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2025/08/30 17:37:46,"2,400",-,-,-,-,-,Payment,フジマルクラフト,PayPay Balance,-,-,04788007766391644166
2025/08/30 17:37:34,-,"10,000",-,-,-,-,Top-Up,PayPay,ＳＢＩ新生銀行 *****72,-,-,02076859383978049561
2025/08/30 04:16:17,900,-,-,-,-,-,Payment,Appleサービス,"PayPay Point (58yen), PayPay Balance (842yen)",-,-,04787594685027246082
2025/08/25 14:57:14,"3,418",-,-,-,-,-,Money Sent,070******88,PayPay Balance,-,-,02073065905652908032
2025/08/25 14:57:12,-,"3,000",-,-,-,-,Top-Up,PayPay,ＳＢＩ新生銀行 *****72,-,-,02073065888473686024
2025/08/23 19:13:52,300,-,-,-,-,-,Payment,PARK TRUCK,PayPay Balance,-,-,04782862112101621760
2025/08/23 18:26:17,900,-,-,-,-,-,Payment,OHANABATAKE - B-ビーフサンド,"PayPay Point (6yen), PayPay Balance (894yen)",-,-,04782837579248754695
2025/08/21 09:16:29,"1,080",-,-,-,-,-,Payment,Appleサービス,"PayPay Point (7yen), PayPay Balance (1,073yen)",-,-,04781069882377093120
2025/08/16 12:32:14,"1,963",-,-,-,-,-,Bill Payment,川崎市　水道料金等,PayPay Balance,-,-,04777459910820003860
2025/08/16 09:14:27,450,-,-,-,-,-,Payment,Appleサービス,"PayPay Point (2yen), PayPay Balance (448yen)",-,-,04777357982656675840
2025/08/14 18:43:07,"3,800",-,-,-,-,-,Payment,牛屋 - 牛屋　FS常設,PayPay Balance,-,-,04776166730526588938
2025/08/14 18:42:07,-,"10,000",-,-,-,-,Top-Up,PayPay,ＳＢＩ新生銀行 *****72,-,-,02065017935802908677
2025/08/14 18:02:56,"2,100",-,-,-,-,-,Payment,モビリティリゾートもてぎ - MRM予備６,PayPay Balance,-,-,04776146011603927050
2025/08/12 18:24:48,"1,400",-,-,-,-,-,Payment,ｋｍ国際自動車T1　羽田 - S.RIDE　ｋｍ国際自動車T1　羽田,"PayPay Point (24yen), PayPay Balance (1,376yen)",-,-,04774672940897812488
2025/08/10 15:19:18,220,-,-,-,-,-,Payment,セブン-イレブン - 川崎溝口２丁目,PayPay Balance,-,-,04773093002818224130
2025/08/10 15:17:31,440,-,-,-,-,-,Payment,セブン-イレブン - 川崎溝口２丁目,PayPay Balance,-,-,04773092083695337472
2025/08/10 14:09:09,"2,597",-,-,-,-,-,Payment,セブン-イレブン - 川崎溝口２丁目,PayPay Balance,-,-,04773056847783591938
2025/08/10 14:09:00,-,"2,962",-,-,-,-,Refund,セブン-イレブン - 川崎溝口２丁目,PayPay Balance,-,-,04773056375336812549
2025/08/10 14:08:15,"2,962",-,-,-,-,-,Payment,セブン-イレブン - 川崎溝口２丁目,PayPay Balance,-,-,04773056375336812549
2025/08/09 21:05:17,933,-,-,-,-,-,Payment,セブン-イレブン - 川崎溝口２丁目,PayPay Balance,-,-,04772529142331662337
2025/08/09 05:02:24,"1,740",-,-,-,-,-,Payment,Appleサービス,"PayPay Point (32yen), PayPay Balance (1,708yen)",-,-,04772032876040593409
2025/08/07 20:16:43,-,"5,000",-,-,-,-,Money Received,Kang Jin Chia,PayPay Balance,-,-,02059871499829329928
2025/08/07 20:16:21,-,"5,000",-,-,-,-,Money Received,070******37,PayPay Balance,-,-,02059871302260793348
2025/08/06 20:51:13,81,-,-,-,-,-,Payment,ココカラファイン - くすりセイジョー久が原駅前店,PayPay Balance,-,-,04770295389968580608
2025/08/06 16:03:13,800,-,-,-,-,-,Payment,個人山内タクシー,"PayPay Point (108yen), PayPay Balance (692yen)",-,-,04770146947308601346
2025/08/05 11:36:01,"3,000",-,-,-,-,-,Payment,Appleサービス,PayPay Balance,-,-,04769267071717949442
2025/08/05 08:07:23,"1,680",-,-,-,-,-,Payment,Appleサービス,"PayPay Point (9yen), PayPay Balance (1,671yen)",-,-,04769159534326145027
2025/08/03 12:56:45,"1,800",-,-,-,-,-,Payment,PeccoPecorino - Pecco Pecorino,"PayPay Point (3yen), PayPay Balance (1,797yen)",-,-,04767824332072501257
2025/08/02 07:20:38,"1,471",-,-,-,-,-,Payment,セブン-イレブン - 川崎溝口２丁目,"PayPay Point (47yen), PayPay Balance (1,424yen)",-,-,04766908937103089664
2025/07/29 23:15:43,-,"3,500",-,-,-,-,Money Received,ヨシヒサ,PayPay Balance,-,-,02053284222583529478
2025/07/28 18:09:56,410,-,-,-,-,-,Payment,NewDays - NewDays原宿,PayPay Balance,-,-,04763532723431735299
2025/07/28 16:12:36,-,6,-,-,-,-,"Points, Balance Earned",スポンティーニ,PayPay Point,-,-,04763472026954612743
2025/07/28 16:12:10,"1,250",-,-,-,-,-,Payment,スポンティーニ - スポンティーニカスケード原宿店,PayPay Balance,-,-,04763472026954612743
2025/07/27 16:09:11,-,6,-,-,-,-,"Points, Balance Earned",BUBBLE　HOUSE,PayPay Point,-,-,04762728327597309955
2025/07/27 16:09:11,"1,200",-,-,-,-,-,Payment,BUBBLE　HOUSE,PayPay Balance,-,-,04762728327597309955
2025/07/27 12:07:56,-,"3,000",-,-,-,-,Money Received,ななな,PayPay Balance,-,-,02051455708978487296
2025/07/27 00:36:15,483,-,-,-,-,-,Payment,セブン-イレブン - 川崎溝口２丁目,PayPay Balance,-,-,04762247488828399617
2025/07/27 00:36:14,-,2,-,-,-,-,"Points, Balance Earned",セブン-イレブン,PayPay Point,-,-,04762247488828399617
2025/07/26 22:57:37,-,"2,500",-,-,-,-,Money Received,ななな,PayPay Balance,-,-,02051048382869880833
2025/07/26 14:18:36,-,4,-,-,-,-,"Points, Balance Earned",浅草生搾り果汁　おれんじーる,PayPay Point,-,-,04761929154442207237
